지역명,규모구분,연도,월,분양가격(제곱미터)
울산,전용면적 60제곱미터이하,2015,11,2584
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3048
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2663
울산,전용면적 102제곱미터초과,2015,11,2874
세종,모든면적,2015,11,2648
세종,전용면적 60제곱미터이하,2015,11,2572
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2666
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2644
세종,전용면적 102제곱미터초과,2015,11,2749
강원,모든면적,2015,11,2171
강원,전용면적 60제곱미터이하,2015,11,2292
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2193
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2061
강원,전용면적 102제곱미터초과,2015,11,2171
충북,모든면적,2015,11,2004
충북,전용면적 60제곱미터이하,2015,11,1921
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2015
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,1868
충북,전용면적 102제곱미터초과,2015,11,2277
충남,모든면적,2015,11,2100
충남,전용면적 60제곱미터이하,2015,11,2214
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2105
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2523
충남,전용면적 102제곱미터초과,2015,11,2468
전북,모든면적,2015,11,2057
전북,전용면적 60제곱미터이하,2015,11,2129
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2057
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2377
전북,전용면적 102제곱미터초과,2015,11,2282
전남,모든면적,2015,11,1909
전남,전용면적 60제곱미터이하,2015,11,1999
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,1906
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2262
전남,전용면적 102제곱미터초과,2015,11,2176
경북,모든면적,2015,11,2190
경북,전용면적 60제곱미터이하,2015,11,2210
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2186
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2516
경북,전용면적 102제곱미터초과,2015,11,2370
경남,모든면적,2015,11,2298
경남,전용면적 60제곱미터이하,2015,11,2200
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2322
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2980
경남,전용면적 102제곱미터초과,2015,11,3043
제주,모든면적,2015,11,2232
제주,전용면적 60제곱미터이하,2015,11,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2225
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2583
제주,전용면적 102제곱미터초과,2015,11,2574
서울,모든면적,2015,12,6041
서울,전용면적 60제곱미터이하,2015,12,6321
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,12,5966
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,12,6513
서울,전용면적 102제곱미터초과,2015,12,6551
인천,모든면적,2015,12,3184
인천,전용면적 60제곱미터이하,2015,12,3328
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3119
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,12,3545
인천,전용면적 102제곱미터초과,2015,12,3408
경기,모든면적,2015,12,3198
경기,전용면적 60제곱미터이하,2015,12,3293
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3314
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,12,3449
경기,전용면적 102제곱미터초과,2015,12,3850
부산,모든면적,2015,12,3127
부산,전용면적 60제곱미터이하,2015,12,2951
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3032
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2957
부산,전용면적 102제곱미터초과,2015,12,3739
대구,모든면적,2015,12,2962
대구,전용면적 60제곱미터이하,2015,12,3282
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2971
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2532
대구,전용면적 102제곱미터초과,2015,12,2743
광주,모든면적,2015,12,2476
광주,전용면적 60제곱미터이하,2015,12,2395
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2489
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,12,  
광주,전용면적 102제곱미터초과,2015,12,  
대전,모든면적,2015,12,2454
대전,전용면적 60제곱미터이하,2015,12,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2461
대전,전용면적 102제곱미터초과,2015,12,  
울산,모든면적,2015,12,3043
울산,전용면적 60제곱미터이하,2015,12,2584
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3048
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2663
울산,전용면적 102제곱미터초과,2015,12,2874
세종,모든면적,2015,12,2665
세종,전용면적 60제곱미터이하,2015,12,2601
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2676
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2661
세종,전용면적 102제곱미터초과,2015,12,2752
강원,모든면적,2015,12,2171
강원,전용면적 60제곱미터이하,2015,12,2292
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2193
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2061
강원,전용면적 102제곱미터초과,2015,12,2171
충북,모든면적,2015,12,2005
충북,전용면적 60제곱미터이하,2015,12,1941
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2017
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2276
충북,전용면적 102제곱미터초과,2015,12,2261
충남,모든면적,2015,12,2269
충남,전용면적 60제곱미터이하,2015,12,2438
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2279
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2523
충남,전용면적 102제곱미터초과,2015,12,2444
전북,모든면적,2015,12,1983
전북,전용면적 60제곱미터이하,2015,12,1925
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,1987
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2377
전북,전용면적 102제곱미터초과,2015,12,2282
전남,모든면적,2015,12,1909
전남,전용면적 60제곱미터이하,2015,12,1999
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,1906
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2262
전남,전용면적 102제곱미터초과,2015,12,2176
경북,모든면적,2015,12,2181
경북,전용면적 60제곱미터이하,2015,12,2178
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2184
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2516
경북,전용면적 102제곱미터초과,2015,12,2370
경남,모든면적,2015,12,2307
경남,전용면적 60제곱미터이하,2015,12,2280
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2329
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2934
경남,전용면적 102제곱미터초과,2015,12,3019
제주,모든면적,2015,12,2268
제주,전용면적 60제곱미터이하,2015,12,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2260
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2583
제주,전용면적 102제곱미터초과,2015,12,2574
서울,모든면적,2016,1,6108
서울,전용면적 60제곱미터이하,2016,1,6427
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,1,6036
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,1,6513
서울,전용면적 102제곱미터초과,2016,1,6551
인천,모든면적,2016,1,3191
인천,전용면적 60제곱미터이하,2016,1,3328
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3110
인천,전용면적 85제곱미터초과 102제곱미터이하,2016,1,3545
인천,전용면적 102제곱미터초과,2016,1,3408
경기,모든면적,2016,1,3198
경기,전용면적 60제곱미터이하,2016,1,3293
경기,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3313
경기,전용면적 85제곱미터초과 102제곱미터이하,2016,1,3450
경기,전용면적 102제곱미터초과,2016,1,3850
부산,모든면적,2016,1,3152
부산,전용면적 60제곱미터이하,2016,1,2951
부산,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3057
부산,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2957
부산,전용면적 102제곱미터초과,2016,1,3812
대구,모든면적,2016,1,3086
대구,전용면적 60제곱미터이하,2016,1,3341
대구,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3103
대구,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2532
대구,전용면적 102제곱미터초과,2016,1,2743
광주,모든면적,2016,1,2569
광주,전용면적 60제곱미터이하,2016,1,2395
광주,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2582
광주,전용면적 85제곱미터초과 102제곱미터이하,2016,1,  
광주,전용면적 102제곱미터초과,2016,1,  
대전,모든면적,2016,1,2454
대전,전용면적 60제곱미터이하,2016,1,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2461
대전,전용면적 102제곱미터초과,2016,1,  
울산,모든면적,2016,1,3046
울산,전용면적 60제곱미터이하,2016,1,2584
울산,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3053
울산,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2663
울산,전용면적 102제곱미터초과,2016,1,2874
세종,모든면적,2016,1,2665
세종,전용면적 60제곱미터이하,2016,1,2601
세종,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2676
세종,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2661
세종,전용면적 102제곱미터초과,2016,1,2752
강원,모든면적,2016,1,2173
강원,전용면적 60제곱미터이하,2016,1,2290
강원,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2199
강원,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2061
강원,전용면적 102제곱미터초과,2016,1,2171
충북,모든면적,2016,1,2008
충북,전용면적 60제곱미터이하,2016,1,1952
충북,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2021
충북,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2276
충북,전용면적 102제곱미터초과,2016,1,2261
충남,모든면적,2016,1,2270
충남,전용면적 60제곱미터이하,2016,1,2481
충남,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2281
충남,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2541
충남,전용면적 102제곱미터초과,2016,1,2444
전북,모든면적,2016,1,1980
전북,전용면적 60제곱미터이하,2016,1,1908
전북,전용면적 60제곱미터초과 85제곱미터이하,2016,1,1987
전북,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2377
전북,전용면적 102제곱미터초과,2016,1,2282
전남,모든면적,2016,1,1909
전남,전용면적 60제곱미터이하,2016,1,1999
전남,전용면적 60제곱미터초과 85제곱미터이하,2016,1,1906
전남,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2262
전남,전용면적 102제곱미터초과,2016,1,2176
경북,모든면적,2016,1,2181
경북,전용면적 60제곱미터이하,2016,1,2178
경북,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2185
경북,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2516
경북,전용면적 102제곱미터초과,2016,1,2346
경남,모든면적,2016,1,2327
경남,전용면적 60제곱미터이하,2016,1,2270
경남,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2348
경남,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2925
경남,전용면적 102제곱미터초과,2016,1,2828
제주,모든면적,2016,1,2268
제주,전용면적 60제곱미터이하,2016,1,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2260
제주,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2583
제주,전용면적 102제곱미터초과,2016,1,2574
서울,모든면적,2016,2,6111
서울,전용면적 60제곱미터이하,2016,2,6438
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,2,6039
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,2,6513
서울,전용면적 102제곱미터초과,2016,2,6458
인천,모든면적,2016,2,3192
인천,전용면적 60제곱미터이하,2016,2,3328
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3112
인천,전용면적 85제곱미터초과 102제곱미터이하,2016,2,3545
인천,전용면적 102제곱미터초과,2016,2,3408
경기,모든면적,2016,2,3219
경기,전용면적 60제곱미터이하,2016,2,3294
경기,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3268
경기,전용면적 85제곱미터초과 102제곱미터이하,2016,2,3381
경기,전용면적 102제곱미터초과,2016,2,3669
부산,모든면적,2016,2,3154
부산,전용면적 60제곱미터이하,2016,2,2999
부산,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3060
부산,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2957
부산,전용면적 102제곱미터초과,2016,2,3812
대구,모든면적,2016,2,3064
대구,전용면적 60제곱미터이하,2016,2,3341
대구,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3079
대구,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2532
대구,전용면적 102제곱미터초과,2016,2,2743
광주,모든면적,2016,2,2569
광주,전용면적 60제곱미터이하,2016,2,2395
광주,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2582
광주,전용면적 85제곱미터초과 102제곱미터이하,2016,2,
광주,전용면적 102제곱미터초과,2016,2,
대전,모든면적,2016,2,2454
대전,전용면적 60제곱미터이하,2016,2,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2461
대전,전용면적 102제곱미터초과,2016,2,
울산,모든면적,2016,2,3046
울산,전용면적 60제곱미터이하,2016,2,2584
울산,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3053
울산,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2663
울산,전용면적 102제곱미터초과,2016,2,2874
세종,모든면적,2016,2,2665
세종,전용면적 60제곱미터이하,2016,2,2601
세종,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2676
세종,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2661
세종,전용면적 102제곱미터초과,2016,2,2752
강원,모든면적,2016,2,2173
강원,전용면적 60제곱미터이하,2016,2,2290
강원,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2200
강원,전용면적 85제곱미터초과 102제곱미터이하,2016,2,
강원,전용면적 102제곱미터초과,2016,2,2350
충북,모든면적,2016,2,2008
충북,전용면적 60제곱미터이하,2016,2,1952
충북,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2021
충북,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2276
충북,전용면적 102제곱미터초과,2016,2,2261
충남,모든면적,2016,2,2272
충남,전용면적 60제곱미터이하,2016,2,2496
충남,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2282
충남,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2541
충남,전용면적 102제곱미터초과,2016,2,2444
전북,모든면적,2016,2,1980
전북,전용면적 60제곱미터이하,2016,2,1908
전북,전용면적 60제곱미터초과 85제곱미터이하,2016,2,1987
전북,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2377
전북,전용면적 102제곱미터초과,2016,2,2283
전남,모든면적,2016,2,1923
전남,전용면적 60제곱미터이하,2016,2,1999
전남,전용면적 60제곱미터초과 85제곱미터이하,2016,2,1921
전남,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2262
전남,전용면적 102제곱미터초과,2016,2,2176
경북,모든면적,2016,2,2179
경북,전용면적 60제곱미터이하,2016,2,2172
경북,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2191
경북,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2532
경북,전용면적 102제곱미터초과,2016,2,2346
경남,모든면적,2016,2,2358
경남,전용면적 60제곱미터이하,2016,2,2361
경남,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2375
경남,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2925
경남,전용면적 102제곱미터초과,2016,2,2673
제주,모든면적,2016,2,2268
제주,전용면적 60제곱미터이하,2016,2,
제주,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2260
제주,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2583
제주,전용면적 102제곱미터초과,2016,2,2574
서울,모든면적,2016,3,6173
서울,전용면적 60제곱미터이하,2016,3,6550
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,3,6127
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,3,7179
서울,전용면적 102제곱미터초과,2016,3,6371
인천,모든면적,2016,3,3190
인천,전용면적 60제곱미터이하,2016,3,3323
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,3,3111
인천,전용면적 85제곱미터초과 102제곱미터이하,2016,3,3545
인천,전용면적 102제곱미터초과,2016,3,3408
경기,모든면적,2016,3,3215
경기,전용면적 60제곱미터이하,2016,3,3441
경기,전용면적 60제곱미터초과 85제곱미터이하,2016,3,3259
경기,전용면적 85제곱미터초과 102제곱미터이하,2016,3,3363
경기,전용면적 102제곱미터초과,2016,3,3680
부산,모든면적,2016,3,3178
부산,전용면적 60제곱미터이하,2016,3,2951
부산,전용면적 60제곱미터초과 85제곱미터이하,2016,3,3102
부산,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2957
부산,전용면적 102제곱미터초과,2016,3,3727
대구,모든면적,2016,3,3119
대구,전용면적 60제곱미터이하,2016,3,3341
대구,전용면적 60제곱미터초과 85제곱미터이하,2016,3,3154
대구,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2539
대구,전용면적 102제곱미터초과,2016,3,2743
광주,모든면적,2016,3,2590
광주,전용면적 60제곱미터이하,2016,3,2470
광주,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2601
광주,전용면적 85제곱미터초과 102제곱미터이하,2016,3,
광주,전용면적 102제곱미터초과,2016,3,
대전,모든면적,2016,3,2454
대전,전용면적 60제곱미터이하,2016,3,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2461
대전,전용면적 102제곱미터초과,2016,3,
울산,모든면적,2016,3,3066
울산,전용면적 60제곱미터이하,2016,3,2584
울산,전용면적 60제곱미터초과 85제곱미터이하,2016,3,3075
울산,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2663
울산,전용면적 102제곱미터초과,2016,3,3057
세종,모든면적,2016,3,2670
세종,전용면적 60제곱미터이하,2016,3,2601
세종,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2681
세종,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2670
세종,전용면적 102제곱미터초과,2016,3,2752
강원,모든면적,2016,3,2194
강원,전용면적 60제곱미터이하,2016,3,2249
강원,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2221
강원,전용면적 85제곱미터초과 102제곱미터이하,2016,3,
강원,전용면적 102제곱미터초과,2016,3,2350
충북,모든면적,2016,3,1980
충북,전용면적 60제곱미터이하,2016,3,1925
충북,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2021
충북,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2276
충북,전용면적 102제곱미터초과,2016,3,2261
충남,모든면적,2016,3,2115
충남,전용면적 60제곱미터이하,2016,3,2226
충남,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2114
충남,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2541
충남,전용면적 102제곱미터초과,2016,3,2444
전북,모든면적,2016,3,1951
전북,전용면적 60제곱미터이하,2016,3,1910
전북,전용면적 60제곱미터초과 85제곱미터이하,2016,3,1959
전북,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2269
전북,전용면적 102제곱미터초과,2016,3,2293
전남,모든면적,2016,3,1921
전남,전용면적 60제곱미터이하,2016,3,2002
전남,전용면적 60제곱미터초과 85제곱미터이하,2016,3,1919
전남,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2262
전남,전용면적 102제곱미터초과,2016,3,2176
경북,모든면적,2016,3,2179
경북,전용면적 60제곱미터이하,2016,3,2173
경북,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2191
경북,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2675
경북,전용면적 102제곱미터초과,2016,3,2314
경남,모든면적,2016,3,2383
경남,전용면적 60제곱미터이하,2016,3,2366
경남,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2392
경남,전용면적 85제곱미터초과 102제곱미터이하,2016,3,3053
경남,전용면적 102제곱미터초과,2016,3,2645
제주,모든면적,2016,3,2314
제주,전용면적 60제곱미터이하,2016,3,
제주,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2314
제주,전용면적 85제곱미터초과 102제곱미터이하,2016,3,
제주,전용면적 102제곱미터초과,2016,3,
서울,모든면적,2016,4,6241
서울,전용면적 60제곱미터이하,2016,4,6618
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,4,6196
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,4,8096
서울,전용면적 102제곱미터초과,2016,4,6353
인천,모든면적,2016,4,3238
인천,전용면적 60제곱미터이하,2016,4,3323
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,4,3147
인천,전용면적 85제곱미터초과 102제곱미터이하,2016,4,3545
인천,전용면적 102제곱미터초과,2016,4,4839
경기,모든면적,2016,4,3199
경기,전용면적 60제곱미터이하,2016,4,3400
